	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
109	al	2705804	322187.8262486	109879.82245813	0.34104275055180633	31833.66634782	0.0988046839586582	78046.15611031	0.24223806659314812
110	al	2704203	1537221.88538242	285218.85920172	0.1855417633029373	57344.31093125	0.03730386060499279	227874.54827047	0.14823790269794454
111	al	2700300	24115968.6310119	3396744.79210948	0.1408504399753382	1505854.47334731	0.06244221396982821	1890890.31876217	0.07840822600550997
112	al	2709152	3045001.40158091	383655.0062793	0.12599501795963483	100934.18004331	0.033147498714091485	282720.82623599	0.09284751924554334
113	al	2706406	2085839.3423706	529111.23443113	0.25366825895123063	208677.92815857	0.10004506287689596	320433.30627256	0.15362319607433467
114	al	2703205	1230898.8952286	371620.79108557	0.3019100858129809	42375.72250982	0.03442664761020041	329245.06857575	0.2674834382027805
115	al	2705200	859605.20377344	174027.78104574	0.2024508231008886	67412.91372362	0.07842311031586954	106614.86732212	0.12402771278501906
116	al	2705309	348348.08361007	77492.83234588	0.2224580412293098	4798.00016442	0.013773579905181084	72694.83218146	0.2086844613241287
117	al	2708709	468708.22800407	139119.64225439	0.296815020395123	57223.04779927	0.1220867148907254	81896.59445512	0.1747283055043976
118	al	2708303	1795588.07321403	420146.52644601	0.233988258617671	145902.53498795	0.08125612837625412	274243.99145806	0.15273213024141688
119	al	2707503	1099158.30966413	340545.04805904	0.30982347589502407	103378.51727275	0.09405243663611969	237166.53078629	0.21577103925890442
120	al	2700102	1364333.0552073	437907.54641055	0.32096821574407525	184955.4309439	0.13556472170631198	252952.11546665	0.18540349403776327
121	al	2703403	645982.04907483	78499.19148165	0.12151915303850297	21579.67993796	0.033406005583075	56919.51154369	0.08811314745542796
122	al	2703007	1097861.0751449	203976.59611061	0.1857945424321455	19754.53482514	0.017993656276166562	184222.06128547	0.16780088615597893
123	am	1301951	423476.92731292	30663.03153538	0.07240779735024891	0.0	0.0	30663.03153538	0.07240779735024891
124	am	1300086	650199.11325843	94603.7677613	0.1454996874529703	27074.81285896	0.04164080249706333	67528.95490234	0.10385888495590696
125	am	1302702	2692478.74717546	454346.93349859	0.16874671117654014	147687.44540992	0.05485185187249899	306659.48808867	0.11389485930404114
126	am	1304005	577515.15471514	105683.87312793	0.1829975755009558	31749.22285966	0.05497556661577191	73934.65026827	0.12802200888518386
127	am	1303205	908954.79522266	123417.15725055	0.13577920255134074	32426.39368274	0.03567437440582152	90990.76356781	0.10010482814551924
128	am	1300631	766215.61620935	97674.33300216	0.12747630162561557	9915.28451678	0.012940593100716559	87759.04848538	0.11453570852489903
129	am	1302504	7461262.18246511	1171803.89000017	0.15705169733266502	486255.40260259	0.06517066291348807	685548.48739758	0.09188103441917693
130	am	1302207	533503.11631617	40711.71779309	0.0763101780439517	8274.04124677	0.015508890189624602	32437.67654632	0.06080128785432709
131	am	1303957	534568.21429092	66201.25202897	0.12384060679100217	10048.74535721	0.018797872916067777	56152.50667176	0.10504273387493439
132	am	1300102	1040521.7454762	175489.50285422	0.16865529588130457	58719.99347327	0.056433220861132984	116769.50938095	0.11222207502017158
133	am	1303569	1908640.68640903	154332.14830152	0.08085971833278102	71379.71005983	0.03739819158635132	82952.43824169	0.0434615267464297
134	am	1302108	549177.66173302	62381.94058855	0.11359154775468029	20375.93336088	0.03710262594545526	42006.00722767	0.07648892180922504
135	am	1300839	700017.54320183	72893.26164343	0.1041306212270359	17745.89510438	0.025350643389894987	55147.36653905	0.07877997783714091
136	am	1303403	8478433.34608309	1535799.64577404	0.18114191420559514	585968.89879212	0.06911287438059874	949830.74698192	0.1120290398249964
137	am	1302900	3848185.34867021	776856.95714557	0.20187617974638952	336861.40205348	0.08753772792412058	439995.55509209	0.11433845182226893
138	am	1300201	772586.28382018	65023.34929251	0.08416321989434157	37592.97143262	0.04865860580223527	27430.37785989	0.0355046140921063
139	am	1300805	1730066.21540528	358040.79666735	0.2069520770241019	136792.84924715	0.07906798481415657	221247.9474202	0.12788409220994534
140	am	1303007	1066632.82726623	175047.10285143	0.1641118652798959	32350.09003744	0.030329171586020824	142697.01281399	0.13378269369387508
141	am	1300060	431192.03151502	75887.43972518	0.1759945318528841	22628.69359623	0.05247938723895866	53258.74612895	0.12351514461392546
142	am	1303809	3432777.48605107	204574.90865282	0.05959457304882141	17539.33118745	0.005109370257384945	187035.57746537	0.05448520279143646
143	am	1300300	2145081.13703773	318374.30851399	0.1484206368779374	79576.50669442	0.037097201276177334	238797.80181957	0.11132343560176008
144	am	1304237	895122.12042262	109375.78888295	0.12219091271178695	10988.80042528	0.01227631423083566	98386.98845767	0.10991459848095128
145	am	1300409	1678534.84231732	139139.36202141	0.08289334157003235	23688.74828691	0.014112753390454638	115450.6137345	0.06878058817957772
146	am	1302801	979456.08591795	103091.69228625	0.10525402186830263	16657.49709796	0.017006885083927503	86434.19518829	0.08824713678437511
147	am	1302009	548314.77542115	109670.92656565	0.20001453814811734	40586.86568233	0.07402110521489413	69084.06088332	0.12599343293322318
148	am	1303700	1381765.47634438	164515.12263237	0.11906153790121732	10415.33423068	0.007537700433965805	154099.78840169	0.1115238374672515
149	am	1304401	783682.51503801	158574.41503632	0.20234522525825252	31823.7302723	0.04060793709396016	126750.68476402	0.16173728816429236
150	am	1302603	368352306.788727	41871488.2367558	0.11367239315477319	35473158.5322192	0.09630225704698864	6398329.70453656	0.017370136107784446
151	am	1304104	972050.52314456	68901.37591021	0.07088250483865356	24405.60298524	0.025107340003571482	44495.77292497	0.04577516483508207
152	am	1303908	1168611.20967123	144989.93640343	0.12407029404092453	19067.3489034	0.0163162467941449	125922.58750003	0.10775404724677962
153	am	1304260	780850.18506669	48687.05278058	0.06235133667340015	1875.30991812	0.00240162575867205	46811.74286246	0.0599497109147281
