Cod2000	uf	Cod2010	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
2601904	pe	['2601904']	0.47501221353851253	0.4859981204571401	-0.010985906918627553	0.2657344837947787	-0.39517211906096483
2602001	pe	['2602001']	0.47377825224385606	0.51502572302965	-0.04124747078579394	0.14284588880325078	-0.39779819451533227
2602100	pe	['2602100']	0.5567043293834979	0.49832032827450257	0.05838400110899533	0.28163878793887553	-0.2875333492691895
2602209	pe	['2602209']	0.3876829776983237	0.43658477557163355	-0.04890179787330984	0.1378201804871214	-0.46713740781618884
2602308	pe	['2602308']	0.4676785333635327	0.5109707866360187	-0.04329225327248598	0.1711318751368387	-0.4268751450550373
2602407	pe	['2602407']	0.41926860943988564	0.47639178682027894	-0.0571231773803933	0.1288025913179256	-0.44997424376560957
2602506	pe	['2602506']	0.4475513656286131	0.4264406252921884	0.021110740336424683	0.25038157959602014	-0.3242771682972717
2602605	pe	['2602605']	0.42537442633439426	0.4657954409509776	-0.04042101461658332	0.10873242981794362	-0.4591010016525713
2602704	pe	['2602704']	0.3649265103521544	0.4425617691031106	-0.07763525875095623	0.09684997037937015	-0.47974642566738845
2602803	pe	['2602803']	0.46002600243199565	0.5608806173884516	-0.10085461495645598	0.042315901106766085	-0.41854132700321434
2602902	pe	['2602902']	0.5001083352038335	0.4054172151078178	0.09469112009601566	0.5883796424251028	-0.2812907372717156
2603009	pe	['2603009']	0.5483624318296785	0.5255205860241488	0.022841845805529726	0.22320199048960265	-0.2896091238144748
2603108	pe	['2603108']	0.4146269953063928	0.4400352210076157	-0.02540822570122292	0.1535028825858471	-0.4359822158830734
2603207	pe	['2603207']	0.443369319773246	0.4800332187373928	-0.03666389896414679	0.06417991339763607	-0.41453872537665726
2603306	pe	['2603306']	0.44680717790344016	0.5754924040167191	-0.12868522611327893	0.009776120606693195	-0.4173302178437024
2603405	pe	['2603405']	0.476678460377414	0.4394893873869532	0.037189072990460814	0.2692614752101913	-0.3426656016866464
2603454	pe	['2603454']	0.48259634655218553	0.3869398173505626	0.09565652920162293	0.5951512076045719	-0.3224184682816257
2603504	pe	['2603504']	0.481592512060632	0.5135974625375342	-0.032004950476902216	0.1440799320968461	-0.3788614456425752
2603603	pe	['2603603']	0.43451757148255943	0.39083571382981364	0.04368185765274579	0.2582197705647554	-0.3615724228738756
2603702	pe	['2603702']	0.42445035002265774	0.4806270294975509	-0.05617667947489313	0.08409215261539482	-0.4150538680630509
2603801	pe	['2603801']	0.4152412445478011	0.43910404035742756	-0.02386279580962647	0.08450093194612185	-0.43054173679850627
2603900	pe	['2603900']	0.4460685731178271	0.5047631713962875	-0.05869459827846035	0.156419168352391	-0.4103542781374053
2603926	pe	['2603926']	0.447889512512778	0.4594114630166205	-0.011521950503842526	0.12076802979888313	-0.40084123023372187
2604007	pe	['2604007']	0.47555733349730966	0.45336698438180856	0.022190349115501107	0.4295845654826167	-0.33884393054186146
2604106	pe	['2604106']	0.5029347016912522	0.4525427364295621	0.0503919652616901	0.5973155151450078	-0.3228676644058377
2604155	pe	['2604155']	0.3212603090856142	0.39362468235470305	-0.07236437326908884	0.07847524784068749	-0.5545155634831894
2604205	pe	['2604205']	0.4786113824819934	0.4801375515792181	-0.0015261690972246944	0.31655311841304723	-0.3534389076697678
2604304	pe	['2604304']	0.5199809099130703	0.5082052590349133	0.011775650878157018	0.16528780274277965	-0.34509749789308064
2604403	pe	['2604403']	0.3558534061873111	0.36233805495406735	-0.006484648766756251	0.15881392299996433	-0.5234883486796491
2604502	pe	['2604502']	0.5198890345090161	0.5749125716681412	-0.05502353715912511	0.19482542642017564	-0.3863676474490265
2604601	pe	['2604601']	0.47281687384338844	0.4328219858063568	0.03999488803703166	0.2845520180802763	-0.3928771821894217
2604700	pe	['2604700']	0.45678656635219994	0.46609706441162646	-0.00931049805942652	0.17209922700057656	-0.389034359324786
2604809	pe	['2604809']	0.4097130098601338	0.5197757010373075	-0.11006269117717371	0.12517849422175353	-0.4782138445378108
2604908	pe	['2604908']	0.4311001160810668	0.48660863275342114	-0.05550851667235435	0.16851631818925628	-0.44530964606657664
2605004	pe	['2605004']	0.44535983573461957	0.4380265574236035	0.007333278311016045	0.20393048267362957	-0.4046929050710202
2605103	pe	['2605103']	0.4875658398267134	0.3741635565269499	0.11340228329976354	0.3588518676468837	-0.30263087844697667
2605152	pe	['2605152']	0.4301355983398679	0.4966009975488094	-0.06646539920894146	0.06408754701184527	-0.4200507773152464
2605202	pe	['2605202']	0.4113475601418528	0.3549611036745284	0.05638645646732443	0.33718697408306875	-0.3674993778736997
2605301	pe	['2605301']	0.5296479527667326	0.5662453048751858	-0.03659735210845316	0.12724851790137404	-0.3362013193664529
2605400	pe	['2605400']	0.4562279971899569	0.46665995214186107	-0.010431954951904188	0.1487115048855875	-0.3767684487614582
2605459	pe	['2605459']	0.4656707695902905	0.5759348313023607	-0.11026406171207015	0.8856321614442985	-0.22506557373074154
2605509	pe	['2605509']	0.4698024183907735	0.37605595116945056	0.09374646722132296	0.27870973793803777	-0.3554171453914289
2605608	pe	['2605608']	0.4310632486565198	0.4603943689096359	-0.029331120253116127	0.16691066411101607	-0.4064245080681811
2605707	pe	['2605707']	0.47223985890926523	0.4864138662408354	-0.014174007331570149	0.2944804730038294	-0.34113946203611134
2605806	pe	['2605806']	0.38679733246862347	0.45349650213741033	-0.06669916966878686	0.1448931731133376	-0.4732974090385552
2605905	pe	['2605905']	0.41689629841861353	0.48019172779952424	-0.0632954293809107	0.15467118324699758	-0.4594726002840007
2606002	pe	['2606002']	0.550996528898399	0.4205403273145727	0.13045620158382631	0.5619298336170638	-0.23161468902026494
2606101	pe	['2606101']	0.4919225845261578	0.601546553730043	-0.10962396920388517	0.12274122597866466	-0.43407482331928715
2606200	pe	['2606200']	0.5019869663900363	0.5508468819037993	-0.04885991551376301	0.39750251076458054	-0.36816759781935904
2606309	pe	['2606309']	0.4671810546329578	0.5233995083411044	-0.0562184537081466	0.11724117909979448	-0.4246409381549806
2606408	pe	['2606408']	0.49160008986824455	0.4641236539248397	0.027476435943404875	0.37631443505459605	-0.3734074120806644
2606507	pe	['2606507']	0.4438483668330273	0.468304846982309	-0.0244564801492817	0.11132729529158925	-0.39600692327163456
2606606	pe	['2606606']	0.4519260008314989	0.5119533982963118	-0.06002739746481289	0.1131521476969437	-0.40905825560791964
2606705	pe	['2606705']	0.4225111604808893	0.5417980356144778	-0.11928687513358849	0.023657525795503287	-0.45785299149357217
2606804	pe	['2606804']	0.45277844132088174	0.43664335997639214	0.0161350813444896	0.4946726376943482	-0.3585560268883934
2606903	pe	['2606903']	0.5207836426177497	0.63518347408081	-0.11439983146306032	0.161840750949523	-0.3578609395071132
2607000	pe	['2607000']	0.5151015338731186	0.6482168765799265	-0.13311534270680792	0.0335162268546253	-0.3706795346335847
2607109	pe	['2607109']	0.48109432038323685	0.5289502368643098	-0.0478559164810729	0.1852646558215859	-0.3482673757814
2607208	pe	['2607208']	0.4506671541474513	0.39355651805650904	0.057110636090942246	0.48089170436037254	-0.3715352113696936
2607307	pe	['2607307']	0.48466929593127295	0.5409006928645118	-0.056231396933238864	0.08725140948228882	-0.3615119932892572
2607406	pe	['2607406']	0.411593297965975	0.46060390260220274	-0.04901060463622775	0.19521646197470244	-0.4346818613860215
2607505	pe	['2607505']	0.43473289055897024	0.5086632042972001	-0.07393031373822989	0.06094620438206366	-0.4225070893040208
2607604	pe	['2607604']	0.5788769719896002	0.7845795895720394	-0.20570261758243924	0.3478320082168608	-0.3563422386646825
2607653	pe	['2607653']	0.429690126314741	0.4331209162658173	-0.003430789951076263	0.22551045219438148	-0.438420353533315
2607703	pe	['2607703']	0.4980319195639472	0.5218024551198662	-0.023770535555919015	0.3108273553638985	-0.3404035051270021
2607752	pe	['2607752']	0.5078060112182035	0.4844053310567571	0.023400680161446363	0.2813229352085236	-0.34704630668231373
2607802	pe	['2607802']	0.3922630058025899	0.4393389452046662	-0.04707593940207633	0.19627675705320746	-0.4662142648384703
2607901	pe	['2607901']	0.5586320852973852	0.5720748944150879	-0.013442809117702681	0.6781636950257652	-0.2600832609394108
2607950	pe	['2607950']	0.5012322261401752	0.416839476878586	0.08439274926158913	0.25646585541596223	-0.30975570774779104
2608008	pe	['2608008']	0.4271565811286928	0.5262398052909962	-0.09908322416230342	-0.010525290172406332	-0.44997711818046526
2608057	pe	['2608057']	0.5094170087027738	0.4249532881827892	0.08446372051998463	0.4879482175722706	-0.2764844042880751
2608107	pe	['2608107']	0.39158289932399304	0.41339338993803576	-0.02181049061404272	0.18409889046440575	-0.4324080059701907
