Cod2000,Cod2010,Gini_RD,Gini_RP,RendaMedia
1400159,['1400159'],0.7088630875991055,0.6257484886859416,316.09
1400175,['1400175'],0.6324470765908091,0.5467343757244058,291.29
1400209,['1400209'],0.5333253367548652,0.493933945122096,313.99
1400233,['1400233'],0.5220598957973466,0.5159898154502425,327.25
1400282,['1400282'],0.6136636195236922,0.4734584042280957,253.0
1400308,['1400308'],0.688609624116614,0.6336323593294855,426.51
1400407,['1400407'],0.659521784262046,0.5485369061953499,200.9
1400456,['1400456'],0.6802988419593975,0.6099665940062857,357.95
1400472,['1400472'],0.5443101437408033,0.5056491555737634,275.96
1400506,['1400506'],0.5300142025102337,0.514844774526975,355.0
1400605,['1400605'],0.6081774917101372,0.5224213496443754,316.84
1400704,['1400704'],0.7629175647312625,0.5866797725557202,117.44
1500107,['1500107'],0.5354171413649255,0.5198122379914202,285.38
1500131,['1500131'],0.5646261633867985,0.5372200587873799,379.46
1500206,['1500206'],0.5186671345781939,0.4701373973035363,197.63
1500305,['1500305'],0.6226184636660859,0.5008719524308922,162.23
1500347,['1500347'],0.5455561385185554,0.41222908312747875,238.44
1500404,['1500404'],0.556214336855574,0.5162275867738328,205.66
1500503,['1500503'],0.6076210343471249,0.6007148575071926,457.13
1500602,['1500602'],0.5589687960147324,0.5333589713009056,475.79
1500701,['1500701'],0.5822451744844354,0.5509778108656297,186.09
1500800,['1500800'],0.5339288761738504,0.5184654287613061,542.67
1500859,['1500859'],0.5578762437614436,0.5092813923484996,261.27
1500909,['1500909'],0.5436678955628949,0.48414684243388695,150.33
1500958,['1500958'],0.5581788197503097,0.4330693974042752,169.5
1501006,['1501006'],0.5500010505271331,0.4981838203799528,146.71
1501105,['1501105'],0.48521980013022226,0.47667785210411306,158.82
1501204,['1501204'],0.5199298659020033,0.4680530624555379,220.49
1501253,['1501253'],0.5995127270937333,0.5524036252748183,404.87
