COD2000,UF,COD2010,GINI(G),PARCELA(CH),P_TOTAL,CH_1SAL,P_1SAL,CH_NSAL,P_NSAL,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
1100502,RO,['1100502'],0.4409887292516623,0.33001845686273934,0.11097027238892299,0.08780536750330525,0.35318336174835707,0.7790736839416315,-0.33808495468996913,0.2614974230818221,0.16987149838948154,0.0916259246923406
1100601,RO,['1100601'],0.5340018987304871,0.2783023451988583,0.25569955353162876,0.08284405809285522,0.45115784063763187,0.7290123490192035,-0.19501045028871644,0.1333450966816396,0.09300977760553156,0.04033531907610804
1100700,RO,['1100700'],0.6253629742259194,0.2092252447529378,0.41613772947298155,0.005659303920466208,0.6197036703054531,0.6762929978473315,-0.05093002362141219,0.07648209193417575,0.05326651367974655,0.023215578254429207
1100809,RO,['1100809'],0.4919249844120843,0.28349780666827695,0.20842717774380737,-0.21601291625126962,0.7079379006633539,0.7782029030174478,-0.28627791860536345,0.10180694009855204,0.05065742380513855,0.05114951629341349
1100908,RO,['1100908'],0.4619821749526386,0.25072520523614383,0.21125696971649477,0.01425695495073398,0.4477252200019046,0.6600608796345413,-0.1980787046819027,0.1432406484136956,0.09079150060661442,0.05244914780708118
1100924,RO,['1100924'],0.43190786963736993,0.12915495069834138,0.30275291893902856,-0.2163717386196946,0.6482796082570645,0.7317919973115488,-0.2998841276741788,0.08629782602900041,0.05484945799596415,0.031448368033036245
1100940,RO,['1100940'],0.5105137411294126,0.06700388250803324,0.44350985862137937,-0.10828264641570562,0.6187963875451182,0.5402624189267325,-0.029748677797319933,0.07577205049502382,0.05529264138303857,0.02047940911198525
1101005,RO,['1101005'],0.5258437831178688,0.29758625159295216,0.22825753152491668,0.11815349681988174,0.4076902862979871,0.7490132407897709,-0.2231694576719021,0.18913147872265954,0.1353376163532595,0.053793862369400036
1101104,RO,['1101104'],0.48109000236838206,0.29926052430265493,0.18182947806572713,-0.011735515685662667,0.49282551805404473,0.7087688149399046,-0.22767881257152256,0.12422891039098566,0.07060716581366148,0.053621744577324174
1101203,RO,['1101203'],0.5210784367141791,0.2955471991679398,0.22553123754623927,0.01616093431996868,0.5049175023942104,0.6870536703952659,-0.1659752336810868,0.18208518523803072,0.10625771379243924,0.07582747144559146
1101302,RO,['1101302'],0.5916962117980651,0.30196886965754843,0.28972734214051665,0.06858102432335555,0.5231151874747095,0.697440691816871,-0.10574448001880588,0.16065786199241203,0.10103312505252263,0.05962473693988941
1101401,RO,['1101401'],0.45939449319899683,0.27558923405972025,0.1838052591392766,-0.02622380379617195,0.4856182969951688,0.6498885274115442,-0.1904940342125474,0.15328121679873147,0.08485727664423665,0.06842394015449481
1101435,RO,['1101435'],0.4638984007600797,0.3609318794467665,0.10296652131331319,0.19308635113212258,0.27081204962795713,0.7057286721317162,-0.24183027137163648,0.20523100035945238,0.13803579568983546,0.06719520466961694
1101450,RO,['1101450'],0.46444717051716244,0.0275665774901509,0.43688059302701154,-0.1261125498475315,0.590559720364694,0.5068554774635365,-0.0424083069463741,0.12671768157511165,0.0959517315073886,0.03076595006772305
1101468,RO,['1101468'],0.48793455078165804,0.25551234633586406,0.23242220444579398,-0.06846458276800371,0.5563991335496618,0.752747643860525,-0.2648130930788669,0.13953494594645216,0.08448693055584047,0.055048015390611695
1101476,RO,['1101476'],0.4936339452711078,0.208476814549154,0.2851571307219538,-0.015167067234552745,0.5088010125056606,0.6529120461744772,-0.15927810090336936,0.1761096821084862,0.11715580653309073,0.05895387557539549
1101484,RO,['1101484'],0.4524443819710098,0.30753183187399413,0.14491255009701565,0.09319475016322798,0.3592496318077818,0.7361124291085992,-0.2836680471375894,0.21174473459613405,0.14115288439938065,0.07059185019675342
1101492,RO,['1101492'],0.5283373861660641,0.32229577323230596,0.2060416129337581,0.04941794309492009,0.478919443071144,0.7436068185459705,-0.21526943237990648,0.12179885816186364,0.07392109851492996,0.04787775964693369
1101500,RO,['1101500'],0.6087010269892881,0.351736765722203,0.25696426126708505,0.17661705298165598,0.4320839740076321,0.6565344557587858,-0.0478334287694977,0.1104155394026098,0.07012540316169281,0.04029013624091697
1101559,RO,['1101559'],0.45270469240244926,0.26495409097690115,0.1877506014255481,0.023069015305886897,0.42963567709656236,0.5959181289592834,-0.14321343655683416,0.15975074647393664,0.09229612277222451,0.06745462370171212
1101609,RO,['1101609'],0.5139039479020079,0.2953858324783073,0.2185181154237006,0.1211090041501599,0.392794943751848,0.7077411485259285,-0.19383720062392062,0.19731558255969722,0.1386970185449068,0.058618564014790396
1101708,RO,['1101708'],0.476036447758317,0.3190644845802538,0.15697196317806317,0.0766856745586787,0.3993507731996383,0.7135791342337616,-0.23754268647544463,0.23972933824254808,0.1484969494531712,0.09123238878937685
1101757,RO,['1101757'],0.5321380117053562,0.3650728839905917,0.16706512771476456,0.15323813552211663,0.3788998761832396,0.71897013580728,-0.18683212410192374,0.16471317496870014,0.10303737446360081,0.06167580050509931
