,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
272,BA,2925501,0.6599359801119158,0.6152473237308865,155.72,310.18
273,BA,2919405,0.6734464624089436,0.6152434886643894,115.0,229.07
274,BA,2927903,0.5166358150324649,0.4822735755766774,99.66,198.51
275,BA,2914802,0.6237600901210805,0.5900672878201789,205.69,409.71
276,BA,2922706,0.46946456951968774,0.38804327329109234,80.48,160.31
277,BA,2930501,0.5771477059687178,0.5374021513956636,102.65,204.47
278,BA,2931905,0.5367194512392813,0.4476899593505498,74.1,147.6
279,BA,2928950,0.42320062312022444,0.43527669386407153,87.55,174.39
280,BA,2925303,0.6081091671464941,0.5673027303607453,189.54,377.55
281,BA,2931004,0.5690270402363459,0.49987271360434793,120.46,239.95
282,BA,2916203,0.48111420967555296,0.3630894612985376,76.18,151.73
283,BA,2917003,0.5915877886645999,0.48975701056044896,68.51,136.47
284,BA,2902203,0.6060222008643865,0.5020798461593324,96.7,192.62
285,BA,2917508,0.6397059544527368,0.6118174286556255,146.43,291.67
286,BA,2917409,0.5730528595796529,0.4597691555336346,87.24,173.77
287,BA,2925956,0.5107494540864771,0.3573995367899031,57.52,114.58
288,BA,2906105,0.5546957081728897,0.5107137940038833,81.31,161.95
289,BA,2911907,0.5439072088187712,0.47943719791079475,87.41,174.1
290,BA,2928059,0.4078818402250105,0.3051874857583994,70.11,139.66
291,BA,2916104,0.56276805917946,0.5010834035956209,130.84,260.61
292,BA,2923100,0.5370473907880622,0.49058979119983515,85.56,170.43
293,BA,2927101,0.48984562031448453,0.49492445427894416,128.54,256.04
294,BA,2918902,0.6192386866623822,0.5710367341559307,153.1,304.97
295,BA,2904506,0.6227931544491567,0.453929189544794,61.5,122.5
296,BA,2925600,0.5905021398155321,0.49907955879571975,88.7,176.68
297,BA,2900207,0.5281855941208097,0.4828358456532673,81.65,162.63
298,BA,2925402,0.4439569092127187,0.3499103945001062,66.11,131.68
299,BA,2911402,0.6107146052245385,0.46779810758097207,78.58,156.53
300,BA,2920452,0.6376680981893957,0.3767490862102665,44.19,88.03
301,BA,2911105,0.7799624435071878,0.6963760755434798,128.09,255.14
302,BA,2921708,0.5900271998457906,0.5359861030917852,106.44,212.02
303,BA,2900405,0.4801531996766397,0.4693975829713889,57.66,114.85
304,BA,2907400,0.4434400387862698,0.30326702823880414,63.7,126.88
