	uf	cod	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
862	es	3203809	0.5345339595728305	0.49380823086634684	0.04072572870648361	0.7886813815284863	-0.23246975797626857
863	es	3204500	0.5380799746363366	0.4280909758281505	0.10998899880818613	0.5057606735139148	-0.2824600586435474
864	es	3200508	0.541601922159751	0.6041416428900975	-0.06253972073034653	0.599404700030244	-0.3186574649111291
865	es	3204807	0.5432227544739509	0.5506503456277445	-0.007427591153793656	0.7069930858324484	-0.30383377790089694
866	es	3202207	0.5477106294501639	0.522008173130535	0.025702456319628864	0.8597158676229668	-0.2538786651678657
867	es	3200409	0.5306793350816711	0.5655989873621415	-0.03491965228047045	0.8717160526840032	-0.27730512384745554
868	es	3203908	0.606828050890589	0.2958974822215972	0.3109305686689918	0.7924997515352654	-0.14221106948581164
869	es	3201100	0.5120929996633694	0.3906508374801978	0.12144216218317161	0.6877321736562445	-0.26894926928100893
870	es	3205150	0.47501864094197754	0.17966710341576098	0.29535153752621657	0.5294279355390111	-0.33419342196574464
871	es	3200136	0.53898311425733	0.08245481888312756	0.4565282953742025	0.6898637104739771	-0.13160031579988885
872	es	3203130	0.51658300070312	0.42321284305073925	0.09337015765238077	0.8994974145751349	-0.18523491627667776
873	es	3201407	0.5624138223969561	0.305691428981537	0.25672239341541914	0.8112747743711521	-0.1160345376255224
874	es	3203007	0.5732208723032625	0.27465664845725235	0.2985642238460101	0.7545510680715953	-0.1988898469221293
875	es	3204658	0.5077906939539882	0.1831921361487211	0.32459855780526714	0.6087270819113009	-0.24209948615930443
876	es	3204906	0.6035666083243088	0.4200994413079827	0.18346716701632604	0.8822684610941813	-0.162162020008484
877	es	3204302	0.5947249295003194	0.3175605656713909	0.2771643638289285	0.5624331926253765	-0.2265794282257888
878	go	5206602	0.49634821158236264	0.21884153333885992	0.2775066782435027	0.7912273180363839	-0.25258985477280016
879	go	5205307	0.5194447780832969	0.26928040489858973	0.2501643731847072	0.6886846585082051	-0.36980954179788883
880	go	5219456	0.41869061957186715	0.050995592051458316	0.36769502752040883	0.46783491084426254	-0.42038563646212346
881	go	5211206	0.6297968749356341	0.2390975771003816	0.3906992978352525	0.7124234819249496	-0.12591399103651124
882	go	5218607	0.6973254102822762	0.1763451686692149	0.5209802416130613	0.9313315100740934	0.015322449018308704
883	go	5221502	0.514089728194266	0.1548234786798034	0.3592662495144626	0.5940875518656532	-0.17684636686032618
884	go	5206909	0.46094671090092065	0.14143712700730438	0.3195095838936163	0.5945862517743918	-0.30304212620259563
885	go	5206701	0.3823778560103285	0.2640015534525174	0.11837630255781106	0.22622826219489045	-0.4519964830940649
886	go	5200175	0.6108722976614015	0.08378144259017684	0.5270908550712247	0.9022788785910388	-0.19714396806860823
887	go	5204508	0.6148791639156055	0.65310855884041	-0.03822939492480448	1.031466244789233	-0.20485083211310506
888	go	5206503	0.534366039349685	0.15825091468320907	0.3761151246664759	0.780013485465759	-0.14256549458259815
889	go	5207907	0.55731055897956	0.158464494342357	0.39884606463720296	0.7273234005744413	-0.21446118321592933
890	go	5200100	0.5321777199468107	0.5230962462074447	0.009081473739366075	0.7642157886095775	-0.3813185951147833
891	go	5220280	0.553249005375011	0.3487047951006068	0.20454421027440417	0.40578517336221387	-0.24374058332337445
892	go	5204300	0.6112059665564988	0.097930331002269	0.5132756355542298	0.8469885572435412	-0.08822304179466423
893	go	5215900	0.5526952774083322	0.13457749264133345	0.4181177847669988	0.7090706460665437	-0.22160733961019274
894	go	5206404	0.541896221752048	0.2780227312433827	0.26387349050866526	0.6625899320545863	-0.35924235232639457
895	go	5218003	0.7067810363940974	0.21315622028299552	0.49362481611110187	0.8977609268880602	-0.0429606027952657
896	go	5208004	0.5897738608972247	0.3407735441328693	0.2490003167643554	0.9060288330063169	-0.17139543767183651
897	go	5205000	0.542810280794077	0.22819761404463113	0.3146126667494459	0.6640897444717359	-0.28332990778105593
898	go	5211503	0.5797320223449111	0.2886464356449694	0.29108558669994167	0.9027773342637552	-0.09775957909420918
899	go	5203609	0.43906181606057504	0.21049097735033584	0.2285708387102392	0.5802409069695487	-0.47981127624419884
900	go	5204953	0.5877990816675516	0.2110007237380328	0.37679835792951877	0.6122907617598063	-0.38165463960198986
901	go	5208400	0.4466801749219488	0.16393098573522014	0.28274918918672864	0.5799308720379562	-0.3594872879005341
902	go	5221700	0.5680697053664812	0.1282141933859341	0.43985551198054706	0.7023913354952436	-0.15660424059492906
903	go	5218904	0.53622880072052	0.365752188866862	0.17047661185365803	0.67999961631603	-0.2915081531102155
904	go	5210000	0.5913454111125345	0.29420634134049406	0.2971390697720404	0.876352409513899	-0.15644989280316035
905	go	5214606	0.6217810337587304	0.14298481892528536	0.47879621483344503	0.8486315541905294	-0.10159960504019294
906	go	5218052	0.6748062978895488	0.23076242167078953	0.4440438762187593	1.0120394914165733	-0.05503559401262459
907	go	5216809	0.5717888577931353	0.3037931215907942	0.2679957362023411	0.6072812835378475	-0.23847833432842902
908	go	5219258	0.41904181014349273	0.07757330567047682	0.3414685044730159	0.49950687405203276	-0.011792862309916163
909	go	5205471	0.7238359217741382	-0.22528175916846038	0.9491176809425986	1.0859356132187825	0.3072895586425447
910	go	5210406	0.648425704345512	0.3348470134494693	0.31357869089604273	0.7281013689939543	-0.07667437598333937
911	go	5214705	0.42205716206229094	0.19513052699400057	0.22692663506829036	0.3305830099353503	-0.2588285837052776
912	go	5200555	0.4881435850057112	0.48820394679487533	-6.036178916413171e-05	0.13355227549112791	-0.05389552659115049
913	go	5212709	0.4269595616327658	0.033642677926711606	0.3933168837060542	0.6440888675773234	-0.1269568289565174
914	go	5208806	0.46721379098261373	0.3404040118289857	0.126809779153628	0.7970098286299463	-0.31353432062557984
915	go	5210307	0.49170313365082874	0.14653955783677008	0.34516357581405865	0.5723718397013359	-0.2704096242683808
916	go	5215702	0.5228313225293532	0.2474465869741539	0.27538473555519927	0.7406646216223701	-0.31949370359149665
917	go	5202809	0.7827667167031123	0.3005686000826081	0.48219811662050416	0.9244262517727349	0.04710760261860725
918	go	5219209	0.5837128795930413	0.4462609337473945	0.1374519458456468	0.7560457066338895	-0.2445762349694055
919	go	5207600	0.5149920631583063	0.13043913221671688	0.3845529309415894	0.581759629161531	-0.19145775886212957
920	go	5204904	0.589519122618764	0.22463136430157216	0.3648877583171919	0.5740411114658207	-0.19496247874498984
921	go	5207501	0.5052078932098538	0.13909145283756752	0.3661164403722863	0.7680073883870493	-0.19988848551088134
922	go	5216304	0.6713129831832	0.054590992114209036	0.616721991068991	0.9103471664016362	-0.07802985564549292
923	go	5219506	0.5201467840297126	0.23410505588281227	0.2860417281469003	0.4398887030682326	-0.24829830892812677
924	go	5200852	0.6724955545006949	0.03791364864158453	0.6345819058591103	0.7916014232820253	-0.0324219033775367
925	go	5215652	0.5198658160057523	0.17693877397973345	0.34292704202601887	0.5733001081398921	-0.2465892452242021
926	go	5222054	0.6015026725862648	-0.3083980256818222	0.909900698268087	0.9715214308504637	0.03230437939756514
927	go	5214879	0.5831905689984204	0.03865474285145698	0.5445358261469634	0.5681595905344811	-0.07347280450806337
928	go	5202353	0.5061585886429754	0.0782033319451898	0.42795525669778556	0.6041965094003245	-0.12927811581759496
929	go	5200159	0.5304854120441003	0.18145930987758685	0.3490261021665134	0.5706001861086318	-0.21846584614323294
930	go	5221080	0.4971681659438877	0.09383630639397389	0.4033318595499138	0.6823260626072848	-0.28713898588491416
931	go	5214051	0.4916266589511875	-0.05021355819510909	0.5418402171462966	0.7473768684988213	-0.4327805333356123
932	go	5214408	0.5474033685705426	0.1357531051773413	0.4116502633932013	0.851531076146582	-0.19390520000887612
933	go	5203302	0.5138076706421317	0.22911616235890575	0.284691508283226	0.7147805412610653	-0.2751662401481605
934	go	5200258	0.4199386389746129	0.30819476266443113	0.11174387631018179	0.8355653716743496	-0.29149901104100706
935	go	5202502	0.5118889694349541	0.208588202689584	0.3033007667453701	0.8400904990496624	-0.30569469315037767
936	go	5220405	0.5935382058990412	0.3331189033113837	0.26041930258765744	0.8773211488840528	-0.20767626340492162
937	go	5208905	0.5364186276142292	0.44273352747759953	0.09368510013662967	0.7333750677401362	-0.2770294233483127
938	go	5214903	0.4398856308530763	0.17077095153800492	0.2691146793150714	0.4906019062063982	-0.3316805267264288
939	go	5208301	0.49727447335572783	0.34333939605387176	0.15393507730185607	0.3528213863745102	-0.43166767306304554
940	go	5222203	0.5236556806324109	-0.014912760889093324	0.5385684415215042	0.5573935522126576	0.14671084329153394
941	go	5201405	0.4593312777152244	0.23930643071119873	0.2200248470040257	0.8601577156830874	-0.22533649110144338
942	go	5217203	0.5533572281607366	0.06507188469312553	0.4882853434676111	0.6604505329501793	-0.14335995944459512
943	go	5218508	0.5880144244745454	0.09439927317997565	0.4936151512945698	0.7496643996087088	-0.08376281080086889
944	go	5219712	0.543291090827385	0.00161883822380271	0.5416722526035823	0.7979513396567192	-0.14469463870620058
945	go	5214101	0.503874135530654	-0.045533255378776394	0.5494073909094304	0.5494073909094304	0.0
946	go	5212501	0.5430155898258455	0.3788801689165484	0.16413542090929711	0.9490941472921113	-0.2372426304167512
947	go	5205455	0.5279116891460862	0.28643023465794704	0.24148145448813918	0.7645418730571538	-0.3644162600767449
948	go	5222005	0.7068578711305722	0.17809718158846133	0.5287606895421109	0.9290619864677854	0.07230767411942507
949	go	5221403	0.4710327902371332	0.2268476177765274	0.24418517246060578	0.8269021714761469	-0.2754015110756738
950	go	5209408	0.4660953042942947	0.3555103920653975	0.11058491222889721	0.3098761372136888	-0.44362559892885944
951	go	5218706	0.7726375864316483	0.39260505683599833	0.3800325295956499	0.9669483550822361	-0.0925695341820385
952	go	5221452	0.43982815972754974	-0.011771163188165179	0.4515993229157149	0.5452335021342876	-0.12310960060939236
953	go	5200902	0.536361984253576	0.20307033891054949	0.33329164534302647	0.6908024679722106	-0.31809700094778814
954	go	5205059	0.5984069766104955	0.0863785577837598	0.5120284188267357	0.7700245626559851	-0.12150801493100338
955	go	5219308	0.5417913789803523	0.19500317967136305	0.3467881993089893	0.8155467807924714	-0.2787852016484307
956	go	5220702	0.5534978921844609	0.14728858667119693	0.40620930551326395	0.4274517173581752	0.1276045596305445
957	go	5208608	0.5401585916591446	0.12546101473728188	0.4146975769218627	0.8256950735209877	-0.19400946185333268
958	go	5217708	0.7258905296582678	0.30013657714934494	0.4257539525089229	0.887544015955892	-0.03633336749096361
959	go	5221809	0.5551011260526186	0.6456433881123211	-0.0905422620597025	0.742235881948526	-0.3377431713026273
960	go	5207808	0.5461734511836553	0.31629145530640035	0.229881995877255	0.6944476848654406	-0.2691985898557603
961	go	5212006	0.49224092468462044	-0.051629000367500844	0.5438699250521213	0.6467857963512589	-0.19142310247817407
962	go	5204409	0.560893412380127	0.1960025415409511	0.36489087083917593	0.7436449674074359	-0.15822294629492395
963	go	5206206	0.5704987204908494	0.2676231811330294	0.30287553935781997	0.8590790989986239	-0.19093679179687406
964	go	5204003	0.5493586605547417	0.256145877451586	0.2932127831031557	0.6588076765432554	-0.3155795523421909
965	go	5215306	0.5780335553053082	0.19521804732575876	0.38281550797954944	0.7512828638209004	-0.12501273804565538
966	go	5213509	0.523526486788488	0.396135721957678	0.12739076483081002	0.5531028691514915	-0.4082605541137425
967	go	5205497	0.5044402193393529	0.5418599039872671	-0.03741968464791423	0.9733017890554854	-0.259531244720975
968	go	5212600	0.6019855438103441	0.5192840995848456	0.08270144422549852	0.7396251942646492	-0.3110649818358665
969	go	5205513	0.4645763025420314	0.30453375336828103	0.16004254917375038	0.7155180127538651	-0.38593437720086243
970	go	5221304	0.5148115276143466	0.2597133513594523	0.2550981762548943	0.6925086001334935	-0.2184740530871021
971	go	5204607	0.5036788376550563	0.2081775724217061	0.2955012652333502	0.6168972002210769	-0.31799813025855406
972	go	5212956	0.5101773521192228	0.120574957316824	0.3896023948023988	0.5229316691725696	-0.07545391778678057
973	go	5201504	0.6721415031587741	-0.047459044661056105	0.7196005478198302	0.9557477870636601	0.14248530946085824
974	go	5201702	0.5122777364106219	0.4119998636631229	0.100277872747499	0.8856391250436926	-0.29726163070482303
975	go	5203401	0.5898048324005035	0.22117818083482266	0.36862665156568086	0.6717274321830408	-0.25385579012257387
976	go	5204706	0.550446790208578	0.1698742750207427	0.3805725151878353	0.5788730608828917	-0.17191916830622878
977	go	5208509	0.5425114843944165	0.3440299546374045	0.19848152975701205	0.8117678742746277	-0.18499066859824753
978	go	5212055	0.5395160973524866	-0.02265427340677384	0.5621703707592605	0.6210537437449737	-0.30918578268332353
979	go	5206305	0.5594155311528664	0.29066337104058126	0.2687521601122851	0.7271872416763638	-0.192956604338126
980	go	5220454	0.4252036916019222	0.18053477608317614	0.24466891551874603	0.7331882247341657	-0.24249232893630157
981	go	5203104	0.5506391581681012	0.4130303540373008	0.13760880413080034	0.7695453928729177	-0.39356546801644043
982	go	5211602	0.5312930192153895	0.3344909048055783	0.1968021144098112	0.6272180972094645	-0.30585544420299193
983	go	5214507	0.5622026232004309	0.3446758996830669	0.21752672351736402	0.8193395574526925	-0.2135127516959361
984	go	5207105	0.5538200966224112	0.013170856369648765	0.5406492402527624	0.6749865685691918	-0.0642945903733253
