Cod2000	Cod2010	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
4312443	['4312443']	0.48397080487332034	0.4829805134869719	697.791050769735	697.791050769735
4312450	['4312450']	0.5175791869852245	0.5178423095024971	696.39610993537	696.39610993537
4312476	['4312476']	0.36052375856613905	0.33326544748196896	755.519856963405	755.519856963405
4312500	['4312500']	0.5501089774461818	0.5606330946172007	617.065011548703	617.065011548703
4312609	['4312609']	0.40363480915876093	0.39628085808075286	879.892196463161	879.892196463161
4312617	['4312617']	0.4754759665492133	0.5097996136280674	648.169935391436	648.169935391436
4312625	['4312625']	0.4927959606254624	0.5147635041945717	787.41935884298	787.41935884298
4312658	['4312658']	0.5197288314194843	0.5096417211941954	1032.20417436839	1032.20417436839
4312674	['4312674']	0.5326953979843595	0.5288061669617077	962.111540678182	962.111540678182
4312708	['4312708']	0.4935890657270372	0.5082123367093914	621.273389979149	621.273389979149
4312757	['4312757']	0.46886027505305006	0.469367923708516	915.304915899336	915.304915899336
4312807	['4312807']	0.46178139927507245	0.4509067510930944	1134.76425901392	1134.76425901392
4312906	['4312906']	0.3944882274813216	0.3730168408219746	1008.45749697936	1008.45749697936
4312955	['4312955']	0.44524042370405736	0.40403810022010855	927.856599386988	927.856599386988
4313003	['4313003', '4305835']	0.529660426157107	0.5086040474640918	1004.071996088413	1004.071996088413
4313011	['4313011']	0.4222401897268314	0.41088850959435774	1117.47851102864	1117.47851102864
4313037	['4313037']	0.46178683659658104	0.46004289833817724	712.902100622666	712.902100622666
4313060	['4313060']	0.36995887399221283	0.35204899769989617	587.191790331562	587.191790331562
4313086	['4313086']	0.3517341274271337	0.32131588450227455	903.395554865591	903.395554865591
4313102	['4313102']	0.5448587412296066	0.5388548261008886	903.562963691617	903.562963691617
4313201	['4313201']	0.4537252008752881	0.44994344362685423	983.012706801537	983.012706801537
4313300	['4313300']	0.451365107146505	0.4518597337130583	1014.89609308126	1014.89609308126
4313334	['4313334']	0.49965598882815887	0.4988723254016353	859.231086118875	859.231086118875
4313359	['4313359']	0.46642199830780706	0.4450316166083026	1108.28727542625	1108.28727542625
4313375	['4313375']	0.43202738877882296	0.44159518941824083	668.671848865033	668.671848865033
4313391	['4313391']	0.42460686255124136	0.43337456137990493	600.750797182291	600.750797182291
4313409	['4313409']	0.5290394400155345	0.5397570403012932	989.601244947786	989.601244947786
4313425	['4313425']	0.415036907116465	0.4144759266773915	529.615004797911	529.615004797911
4313441	['4313441']	0.43523677987163834	0.41828056584700957	533.48874356402	533.48874356402
4313490	['4313490']	0.6152353145443112	0.6228752397737352	761.477213864878	761.477213864878
4313508	['4313508']	0.5224412374488118	0.5351828610417881	938.668167587447	938.668167587447
4313607	['4313607']	0.48025012083339835	0.4656266959686264	728.264672671971	728.264672671971
4313656	['4313656']	0.5443604454988069	0.5598170057337969	700.281184557565	700.281184557565
4313706	['4313706', '4319364']	0.500761618359429	0.5099634696368619	568.1358409076465	568.1358409076465
4313805	['4313805']	0.46653206702307126	0.4352202573606444	634.757145376382	634.757145376382
4313904	['4313904']	0.46253794744522947	0.4556455892828444	849.527790010991	849.527790010991
4313953	['4313953']	0.4671910865463338	0.49465102585941145	517.125865777285	517.125865777285
4314001	['4314001']	0.49282106398146086	0.47873571246129965	1061.16058325721	1061.16058325721
4314027	['4314027']	0.38801546557545874	0.37445723708152545	591.157154147537	591.157154147537
4314035	['4314035']	0.4223994393422811	0.39824060522126736	785.567195765947	785.567195765947
4314050	['4314050']	0.3864330022820577	0.3807699731451646	617.950831453503	617.950831453503
4314068	['4314068']	0.4119299170546563	0.4519895307027576	426.497228116232	426.497228116232
4314076	['4314076']	0.49712137209931073	0.4940964983992616	699.215796870517	699.215796870517
4314100	['4314100']	0.5201625064045529	0.5335755304961824	1031.07762638106	1031.07762638106
4314159	['4314159']	0.36882715988830783	0.3448676629022218	624.778045383526	624.778045383526
4314209	['4314209']	0.49574991064807994	0.5034866651746119	539.284029688749	539.284029688749
4314308	['4314308']	0.4868619226290647	0.46430678393654123	693.108266071748	693.108266071748
4314407	['4301073', '4314407']	0.5567260600238869	0.5422193414745603	783.5582783627755	783.5582783627755
4314423	['4314423']	0.35860158599107417	0.3271704809788204	782.186861130495	782.186861130495
4314456	['4314456']	0.46097747353020346	0.4572354701424438	618.285710790718	618.285710790718
4314472	['4314472']	0.5264232169659937	0.5331448916713761	491.96875194933	491.96875194933
4314498	['4314498']	0.554827513788241	0.5732947808865526	666.357284851055	666.357284851055
4314506	['4314506']	0.47152490667928004	0.4939899507753881	553.013091797443	553.013091797443
4314555	['4314555']	0.435995877180537	0.4557783047923293	471.328840584909	471.328840584909
4314605	['4314605']	0.491820940845369	0.5191198277051794	504.455488500118	504.455488500118
4314704	['4314704']	0.42780098828413116	0.4473793986620289	514.824712394833	514.824712394833
4314753	['4314753']	0.41153373801521087	0.3839549422906776	806.918483261214	806.918483261214
4314779	['4314779']	0.5260235114177674	0.5484097811670219	634.96125618211	634.96125618211
4314787	['4314787']	0.4097968974929048	0.3935447507681037	734.425525861277	734.425525861277
4314803	['4314803']	0.4526940572183423	0.44076567739731043	703.293288280495	703.293288280495
4314902	['4314902']	0.5966233996341037	0.6166940356319456	1704.36437284531	1704.36437284531
4315008	['4315008']	0.43720594376103983	0.44172338123502786	611.013800120337	611.013800120337
4315057	['4315057']	0.4135354580960061	0.42063917131508843	515.867350589476	515.867350589476
4315073	['4315073']	0.3959638467515282	0.42085442271026463	484.768463896308	484.768463896308
4315107	['4315107']	0.47003757605295493	0.48019419081179726	566.882197046357	566.882197046357
4315131	['4315131']	0.5342876761606314	0.5347393191484733	930.614383873483	930.614383873483
4315149	['4315149']	0.3634221825229025	0.33315018834811605	723.940814905369	723.940814905369
4315156	['4315156']	0.4141981177675702	0.402381844818555	640.955834234288	640.955834234288
4315172	['4315172']	0.5387105826475871	0.5248567457847659	971.658180994782	971.658180994782
4315206	['4315206']	0.5004810430067894	0.4376910529764396	806.925234931313	806.925234931313
4315305	['4315305']	0.48868820164252513	0.5196017126013159	513.205114362031	513.205114362031
4315321	['4315321']	0.5532495207912592	0.5548532851273515	500.116858723464	500.116858723464
4315354	['4315354']	0.5056876688644426	0.47359666892345653	1038.95238677042	1038.95238677042
4315404	['4315404']	0.5542731927939246	0.6275942730770045	325.192513262217	325.192513262217
4315453	['4315453']	0.4818239123996535	0.449629733597108	926.925469408729	926.925469408729
4315503	['4315503']	0.5209001360936002	0.5377802582716977	638.902592902265	638.902592902265
4315552	['4315552']	0.47925912552316197	0.5075428958369461	433.94528249513	433.94528249513
4315602	['4315602']	0.519835449645604	0.5280434806983314	833.956254994563	833.956254994563
4315701	['4315701']	0.5055625763300104	0.5126244200179045	587.289214155519	587.289214155519
4315750	['4315750']	0.3959935377370519	0.3920907717078864	582.382159874793	582.382159874793
4315800	['4315800']	0.45715992732958644	0.43847129024984344	858.397992809292	858.397992809292
4315909	['4315909']	0.47080457347721005	0.4627348860977424	762.620547208573	762.620547208573
4316006	['4316006']	0.3731306677080347	0.3521919256032646	648.140330006874	648.140330006874
4316105	['4316105']	0.5282994091185615	0.5424805596175297	733.574719301277	733.574719301277
4316204	['4316204']	0.5035929387882365	0.4709797255748016	1015.62364406335	1015.62364406335
4316303	['4316303']	0.4880967819711257	0.5035085570126647	552.868961745011	552.868961745011
4316402	['4316402']	0.5082711809422653	0.5208897654783666	633.055229349916	633.055229349916
4316428	['4316428']	0.5222294935448373	0.5525620724568905	498.86194338834	498.86194338834
4316436	['4316436']	0.4738986559388949	0.4406075479572198	815.750467796339	815.750467796339
4316451	['4316451']	0.48104502314120146	0.49715251306221864	577.614603543357	577.614603543357
4316477	['4316477']	0.363881575084696	0.3576598223316333	657.744877723893	657.744877723893
4316501	['4316501']	0.414258981902337	0.3828827509411874	841.983597332902	841.983597332902
4316600	['4316600']	0.46061305444308664	0.43980355835960205	925.333032402032	925.333032402032
4316709	['4316709']	0.48805485829139716	0.4973638060288379	678.389260624883	678.389260624883
4316758	['4316758']	0.41055793815182806	0.367555603400469	824.336107421326	824.336107421326
4316808	['4316808']	0.5002578301331478	0.49699461182192217	1001.16066809858	1001.16066809858
4316907	['4316907']	0.5480563932419497	0.5598161861095562	1098.06581532412	1098.06581532412
4316956	['4316956']	0.3433377685405341	0.3050142871945716	685.968481504223	685.968481504223
4317004	['4317004']	0.49305860030406845	0.531983967791525	393.898961332463	393.898961332463
4317103	['4317103']	0.536890213542762	0.5555800157334434	660.625844709358	660.625844709358
4317202	['4317202']	0.46997493187720485	0.475280290118805	849.601663393699	849.601663393699
4317251	['4317251']	0.414579080046908	0.3966442743853067	900.992973396694	900.992973396694
4317301	['4317301']	0.5397234750826949	0.5523552482903211	642.27187698147	642.27187698147
4317400	['4317400', '4304655']	0.5170445371057928	0.5207864830488966	612.7225187670775	612.7225187670775
4317509	['4317509']	0.5366661816714631	0.5480485740997579	920.992930068354	920.992930068354
4317558	['4317558']	0.548196187590836	0.5073805817273838	1020.75848896858	1020.75848896858
4317608	['4317608']	0.46486864517159254	0.457921427104654	672.979588369701	672.979588369701
4317707	['4317707']	0.44379891814308947	0.45837542771148154	510.914317214963	510.914317214963
4317756	['4317756']	0.4209256876443115	0.43358397444798835	615.969443056225	615.969443056225
4317806	['4317806']	0.5752252032537298	0.5792402061992579	852.789910968113	852.789910968113
4317905	['4317905']	0.45685342708410137	0.44710061032525394	825.527403735374	825.527403735374
4317954	['4317954']	0.44361998529976077	0.4730097399638862	512.0498950417	512.0498950417
4318002	['4318002']	0.5423723524793826	0.5485676606612727	677.518440532676	677.518440532676
4318051	['4318051']	0.4828303617861488	0.44438686506032254	1016.7857618617	1016.7857618617
4318101	['4318101']	0.5285728229632474	0.5470904840435683	531.528360753033	531.528360753033
4318200	['4318200']	0.46398843806272105	0.4726209344800152	606.223145321056	606.223145321056
4318309	['4318309', '4316972']	0.5406877961663723	0.5569121435289109	596.2578955599845	596.2578955599845
4318408	['4318408']	0.5493096007866334	0.5574326770942504	748.214802866687	748.214802866687
4318424	['4318424']	0.410317193569845	0.39879453171209356	619.246316473434	619.246316473434
4318432	['4318432']	0.5490831645920099	0.5426009668307085	823.513912491965	823.513912491965
4318440	['4318440']	0.41254098395401484	0.3992013626104871	847.534408888025	847.534408888025
4318457	['4318457']	0.4224537539732274	0.4332557250696283	460.678986385327	460.678986385327
4318465	['4318465']	0.5704831601225124	0.5941575748716832	615.161988652022	615.161988652022
4318481	['4318481']	0.297168078424469	0.28426453467166635	693.171758289603	693.171758289603
4318499	['4318499']	0.37224486545044866	0.3573300576724554	716.973299139787	716.973299139787
4318507	['4318507']	0.4400745974516038	0.44274871475396305	489.947677943944	489.947677943944
4318606	['4318606']	0.5533034290232174	0.5555698226369422	873.968540897219	873.968540897219
4318622	['4318622']	0.501043136182975	0.5190023069939259	500.630276492757	500.630276492757
4318705	['4318705']	0.5200111948289028	0.5374596765953763	921.525520406482	921.525520406482
4318804	['4318804']	0.48991284652795475	0.4639663472999407	696.771625227245	696.771625227245
4318903	['4318903', '4315958']	0.47493849741695704	0.4804607940027878	607.3760090939425	607.3760090939425
4319000	['4319000']	0.42888701864611845	0.4195860458194395	983.67173058667	983.67173058667
4319109	['4319109']	0.4776220115512668	0.47065980385007933	768.16622324944	768.16622324944
